"string" "category"
"Mtndn" "Consonant string"
"Mtrkc" "Consonant string"
"Mtrrd" "Consonant string"
"Mtslm" "Consonant string"
"Mtvst" "Consonant string"
"Mvvsd" "Consonant string"
"Mvzdv" "Consonant string"
"Mzbnl" "Consonant string"
"Mzffb" "Consonant string"
"Mzllr" "Consonant string"
"Mznsn" "Consonant string"
"Mzsnr" "Consonant string"
"Ncbgt" "Consonant string"
"Ndhmr" "Consonant string"
"Ndhrt" "Consonant string"
"Ngkgm" "Consonant string"
"Nkhmn" "Consonant string"
"Nlppt" "Consonant string"
"Nmtdn" "Consonant string"
"Nndkr" "Consonant string"
"Nnknl" "Consonant string"
"Npbtb" "Consonant string"
"Nrffr" "Consonant string"
"Nstds" "Consonant string"
"Pbllm" "Consonant string"
"Pbstm" "Consonant string"
"Pfbhl" "Consonant string"
"Pffpn" "Consonant string"
"Pfgdm" "Consonant string"
"Pfptb" "Consonant string"
"Pgrpr" "Consonant string"
"Phsth" "Consonant string"
"Plbgt" "Consonant string"
"Plctt" "Consonant string"
"Pllhn" "Consonant string"
"Plllf" "Consonant string"
"Pltmn" "Consonant string"
"Plztz" "Consonant string"
"Pmtmr" "Consonant string"
"Pnrns" "Consonant string"
"Ppktc" "Consonant string"
"Pplbt" "Consonant string"
"Pqrpm" "Consonant string"
"Prcms" "Consonant string"
"Prdfr" "Consonant string"
"Prgll" "Consonant string"
"Prlxy" "Consonant string"
"Prrnz" "Consonant string"
"Prrrl" "Consonant string"
"Ptfff" "Consonant string"
"Ptsls" "Consonant string"
"Pxdvl" "Consonant string"
"Pzsst" "Consonant string"
"Qdqdt" "Consonant string"
"Qffqn" "Consonant string"
"Qkhll" "Consonant string"
"Qmrtl" "Consonant string"
"Qnggl" "Consonant string"
"Qskrr" "Consonant string"
"Qtmfn" "Consonant string"
"Qttxr" "Consonant string"
"Qvjlt" "Consonant string"
"Qztnt" "Consonant string"
"Rfhmt" "Consonant string"
"Rgmls" "Consonant string"
"Rhqzh" "Consonant string"
"Rhrzs" "Consonant string"
"Rkbnn" "Consonant string"
"Rktlt" "Consonant string"
"Rntzt" "Consonant string"
"Rnvmt" "Consonant string"
"Rpssh" "Consonant string"
"Rqhrl" "Consonant string"
"Rqngk" "Consonant string"
"Rqvxs" "Consonant string"
"Rqzgz" "Consonant string"
"Rrhmc" "Consonant string"
"Rrhrn" "Consonant string"
"Rrtqt" "Consonant string"
"Rvrms" "Consonant string"
"Rzdjr" "Consonant string"
"Sbhls" "Consonant string"
"Sbndb" "Consonant string"
"Scdzn" "Consonant string"
"Schjr" "Consonant string"
"Schjß" "Consonant string"
"Schnb" "Consonant string"
"Schnm" "Consonant string"
"Sclbl" "Consonant string"
"Sdhsn" "Consonant string"
"Sdldc" "Consonant string"
"Sdnft" "Consonant string"
"Sgpdr" "Consonant string"
"Spgßc" "Consonant string"
"Sphlt" "Consonant string"
"Spjlq" "Consonant string"
"Spjtz" "Consonant string"
"Spkhn" "Consonant string"
"Spnkt" "Consonant string"
"Spnkz" "Consonant string"
"Spqlt" "Consonant string"
"Spqrl" "Consonant string"
"Sprkh" "Consonant string"
"Spsml" "Consonant string"
"Sqfgt" "Consonant string"
"Sqnkq" "Consonant string"
"Sqtzt" "Consonant string"
"Srlnt" "Consonant string"
"Srmfl" "Consonant string"
"Srßgm" "Consonant string"
"Ssnkt" "Consonant string"
"Stcld" "Consonant string"
"Stfns" "Consonant string"
"Stftx" "Consonant string"
"Stgßk" "Consonant string"
"Sthst" "Consonant string"
"Stkbs" "Consonant string"
"Stlfn" "Consonant string"
"Stlll" "Consonant string"
"Stqvk" "Consonant string"
"Strck" "Consonant string"
"Stsls" "Consonant string"
"Stsrn" "Consonant string"
"Stzck" "Consonant string"
"Svhns" "Consonant string"
"Svllz" "Consonant string"
"Svmpf" "Consonant string"
"Svßhn" "Consonant string"
"Sxtyr" "Consonant string"
"Syrmr" "Consonant string"
"Szlzt" "Consonant string"
"Szwlb" "Consonant string"
"Tbbkn" "Consonant string"
"Tbrsb" "Consonant string"
"Tbxgn" "Consonant string"
"Tcnhn" "Consonant string"
"Tctjs" "Consonant string"
"Tdlhs" "Consonant string"
"Tdmrr" "Consonant string"
"Tdntr" "Consonant string"
"Tdtds" "Consonant string"
"Thmrs" "Consonant string"
"Thpjs" "Consonant string"
"Tlttm" "Consonant string"
"Tnlgn" "Consonant string"
"Tnrfn" "Consonant string"
"Tpkth" "Consonant string"
"Tpsrs" "Consonant string"
"Tqtkm" "Consonant string"
"Trfmf" "Consonant string"
"Trhqs" "Consonant string"
"Trkll" "Consonant string"
"Trmnx" "Consonant string"
"Trntt" "Consonant string"
"Trpxm" "Consonant string"
"Trsfb" "Consonant string"
"Tvthn" "Consonant string"
"Tztvn" "Consonant string"
"Vchsm" "Consonant string"
"Vdlvr" "Consonant string"
"Vfzlz" "Consonant string"
"Vglvg" "Consonant string"
"Vmnst" "Consonant string"
"Vngst" "Consonant string"
"Vssbg" "Consonant string"
"Vsvvt" "Consonant string"
"Wcllz" "Consonant string"
"Wcrzq" "Consonant string"
"Wctfn" "Consonant string"
"Whhgp" "Consonant string"
"Whlzz" "Consonant string"
"Wkrfc" "Consonant string"
"Wnbnn" "Consonant string"
"Wngst" "Consonant string"
"Wprms" "Consonant string"
"Wprst" "Consonant string"
"Wrllr" "Consonant string"
"Wtstv" "Consonant string"
"Wvnkt" "Consonant string"
"Xbllm" "Consonant string"
"Xdgzr" "Consonant string"
"Xnprt" "Consonant string"
"Zbgtn" "Consonant string"
"Zcchc" "Consonant string"
"Zckhr" "Consonant string"
"Zfllm" "Consonant string"
"Zjgst" "Consonant string"
"Zlbqr" "Consonant string"
"Ztltt" "Consonant string"
"Zvhlg" "Consonant string"
"Aboln" "Pseudoword"
"Abtäs" "Pseudoword"
"Ädarn" "Pseudoword"
"Aigön" "Pseudoword"
"Allas" "Pseudoword"
"Andam" "Pseudoword"
"Annag" "Pseudoword"
"Arahn" "Pseudoword"
"Ardal" "Pseudoword"
"Arman" "Pseudoword"
"Armöt" "Pseudoword"
"Artis" "Pseudoword"
"Astän" "Pseudoword"
"Aurer" "Pseudoword"
"Banda" "Pseudoword"
"Banja" "Pseudoword"
"Bargs" "Pseudoword"
"Basam" "Pseudoword"
"Bauda" "Pseudoword"
"Bauts" "Pseudoword"
"Bekem" "Pseudoword"
"Beuns" "Pseudoword"
"Biegi" "Pseudoword"
"Blama" "Pseudoword"
"Blete" "Pseudoword"
"Bloht" "Pseudoword"
"Bölls" "Pseudoword"
"Börön" "Pseudoword"
"Brata" "Pseudoword"
"Briea" "Pseudoword"
"Bryin" "Pseudoword"
"Bubul" "Pseudoword"
"Cahpa" "Pseudoword"
"Cechu" "Pseudoword"
"Claps" "Pseudoword"
"Dackt" "Pseudoword"
"Decht" "Pseudoword"
"Deven" "Pseudoword"
"Deves" "Pseudoword"
"Diech" "Pseudoword"
"Dinau" "Pseudoword"
"Divir" "Pseudoword"
"Dogmo" "Pseudoword"
"Döhnö" "Pseudoword"
"Döltö" "Pseudoword"
"Eenen" "Pseudoword"
"Emgab" "Pseudoword"
"Ennus" "Pseudoword"
"Entok" "Pseudoword"
"Epfel" "Pseudoword"
"Eptek" "Pseudoword"
"Erain" "Pseudoword"
"Erron" "Pseudoword"
"Esaun" "Pseudoword"
"Eschu" "Pseudoword"
"Eslom" "Pseudoword"
"Estar" "Pseudoword"
"Fabal" "Pseudoword"
"Fählt" "Pseudoword"
"Fanda" "Pseudoword"
"Fanda" "Pseudoword"
"Fanft" "Pseudoword"
"Farmt" "Pseudoword"
"Fausa" "Pseudoword"
"Fealt" "Pseudoword"
"Feßen" "Pseudoword"
"Fiene" "Pseudoword"
"Fisir" "Pseudoword"
"Fitis" "Pseudoword"
"Fjerd" "Pseudoword"
"Flegs" "Pseudoword"
"Flert" "Pseudoword"
"Flich" "Pseudoword"
"Fluhu" "Pseudoword"
"Fongt" "Pseudoword"
"Fotto" "Pseudoword"
"Fregt" "Pseudoword"
"Frinz" "Pseudoword"
"Fröhö" "Pseudoword"
"Fröss" "Pseudoword"
"Futul" "Pseudoword"
"Gaban" "Pseudoword"
"Gägän" "Pseudoword"
"Garta" "Pseudoword"
"Gäsäs" "Pseudoword"
"Gefte" "Pseudoword"
"Gengs" "Pseudoword"
"Gennt" "Pseudoword"
"Getem" "Pseudoword"
"Ginis" "Pseudoword"
"Ginzi" "Pseudoword"
"Gisiß" "Pseudoword"
"Gisti" "Pseudoword"
"Gitei" "Pseudoword"
"Glott" "Pseudoword"
"Gommo" "Pseudoword"
"Gonon" "Pseudoword"
"Grahf" "Pseudoword"
"Grall" "Pseudoword"
"Grehe" "Pseudoword"
"Grömm" "Pseudoword"
"Gullu" "Pseudoword"
"Hahft" "Pseudoword"
"Hahir" "Pseudoword"
"Händä" "Pseudoword"
"Hännä" "Pseudoword"
