"X1_graph","X8_frantfreqparm","Word","nl","oPE","Npix","OLD20","CN","Freq"
"usure",10.77,"usure",5,441.246916929239,752.760784313725,1.85,0,10.77
"usées",3.32,"usées",5,427.134832961207,808.337254901961,1.65,1,3.32
"utile",37.19,"utile",5,533.130784800617,714.988235294118,1.8,0,37.19
"uzbek",0.48,"uzbek",5,507.067366400266,839.321568627451,2.75,0,0.48
"vache",18.45,"vache",5,455.669741042922,788.376470588235,1.65,4,18.45
"vagin",1.39,"vagin",5,544.82820496769,797.917647058823,1.7,3,1.39
"vagir",0.1,"vagir",5,567.091559376499,766.63137254902,1.7,3,0.1
"vagis",0.03,"vagis",5,524.691648408209,790.580392156863,1.65,3,0.03
"vagit",0.1,"vagit",5,566.449821588798,776.498039215686,1.75,3,0.1
"vagua",0.03,"vagua",5,502.494074522323,821.278431372549,1.9,2,0.03
"vague",53.58,"vague",5,490.092867029748,820.133333333333,1.55,7,53.58
"vainc",0.32,"vainc",5,480.106213439614,727.352941176471,1.75,2,0.32
"vaine",8.35,"vaine",5,460.022924274356,744.258823529412,1.2,12,8.35
"vains",2.97,"vains",5,466.726591963496,739.827450980392,1.2,9,2.97
"vairé",0.03,"vairé",5,493.651513191299,734.788235294118,1.9,0,0.03
"valda",0.16,"valda",5,529.396296837286,794.109803921569,1.85,1,0.16
"valet",8.58,"valet",5,522.353544922757,730.823529411765,1.55,6,8.58
"valez",0.39,"valez",5,497.271361698279,730.18431372549,1.65,5,0.39
"valsa",0.1,"valsa",5,499.26391642148,746.050980392157,1.65,5,0.1
"valse",5.58,"valse",5,486.862708928906,744.905882352941,1.5,4,5.58
"valsé",0.29,"valsé",5,501.820468946712,766.721568627451,1.85,2,0.29
"value",1.16,"value",5,489.878717943366,739.525490196078,1.5,7,1.16
"valut",3.29,"valut",5,538.340558813095,721.011764705882,1.7,4,3.29
"valve",1.74,"valve",5,524.241019969533,719.282352941176,1.7,5,1.74
"valût",0.29,"valût",5,554.589246638704,747.458823529412,1.9,2,0.29
"vamps",0.1,"vamps",5,540.364520863328,872.713725490196,1.9,1,0.1
"vanel",0.16,"vanel",5,514.097050129025,752.243137254902,1.95,1,0.16
"vanna",1,"vanna",5,444.648872844631,783.243137254902,1.7,6,1
"vanne",2.65,"vanne",5,432.247665352057,782.098039215686,1.45,7,2.65
"vanné",0.45,"vanné",5,447.205425369863,803.913725490196,1.7,5,0.45
"vanta",0.48,"vanta",5,464.433566346012,761.823529411765,1.7,5,0.48
"vante",2.13,"vante",5,452.032358853438,760.678431372549,1.2,11,2.13
"vanté",1.48,"vanté",5,466.990118871244,782.494117647059,1.45,7,1.48
"vapes",0.35,"vapes",5,473.675973262663,824.529411764706,1.65,5,0.35
"vaque",0.19,"vaque",5,485.390420744387,818.541176470588,1.45,8,0.19
"varan",0.13,"varan",5,462.839808303597,751.956862745098,1.95,0,0.13
"varia",0.23,"varia",5,484.595866981059,714.117647058824,1.7,4,0.23
"varie",16.61,"varie",5,472.194659488484,712.972549019608,1.55,6,16.61
"varié",5.39,"varié",5,487.15241950629,734.788235294118,1.6,5,5.39
"varus",0.19,"varus",5,451.003213488303,733.662745098039,1.85,3,0.19
"vaser",0.06,"vaser",5,471.065475867537,743.474509803922,1.45,8,0.06
"vases",6.68,"vases",5,428.665564899247,767.423529411765,1.4,9,6.68
"vaste",55.26,"vaste",5,454.342610715801,753.341176470588,1.55,6,55.26
"veaux",2.45,"veaux",5,485.334351633522,755.580392156863,1.65,3,2.45
"veine",8.87,"veine",5,460.525605659077,743.113725490196,1.6,6,8.87
"veiné",0.94,"veiné",5,475.483365676883,764.929411764706,1.8,2,0.94
"velue",1.32,"velue",5,490.381399328087,738.380392156863,1.65,5,1.32
"velum",0.1,"velum",5,575.007797230278,786.564705882353,1.75,3,0.1
"velus",0.42,"velus",5,497.085067017227,733.949019607843,1.65,4,0.42
"vende",0.48,"vende",5,463.257712024149,821.674509803922,1.35,9,0.48
"vends",2.77,"vends",5,469.961379713288,817.243137254902,1.4,9,2.77
"vendu",11.26,"vendu",5,493.59933504441,811.862745098039,1.5,6,11.26
"vener",0.03,"vener",5,469.257905389895,749.666666666667,1.6,5,0.03
"venez",24.45,"venez",5,443.533984377716,758.894117647059,1.6,5,24.45
"venge",1.71,"venge",5,488.343597020219,831.705882352941,1.5,5,1.71
"vengé",1.13,"vengé",5,503.301357038025,853.521568627451,1.75,3,1.13
"venin",2.1,"venin",5,490.876678560745,746.019607843137,1.85,2,2.1
"venir",126.16,"venir",5,513.140032969554,714.733333333333,1.75,3,126.16
"venta",0.19,"venta",5,464.936247730734,760.678431372549,1.6,5,0.19
"vente",25.48,"vente",5,452.535040238159,759.533333333333,1,17,25.48
"vents",14.03,"vents",5,459.238707927299,755.101960784314,1.15,10,14.03
"venté",0.03,"venté",5,467.492800255965,781.349019607843,1.45,8,0.03
"venue",52.42,"venue",5,436.141340622803,768.235294117647,1.45,7,52.42
"venus",36.16,"venus",5,442.845008311943,763.803921568627,1.4,8,36.16
"venés",0.03,"venés",5,439.416418003879,795.43137254902,1.55,6,0.03
"verbe",9.55,"verbe",5,471.331156229784,784.2,1.5,9,9.55
"verdi",4.84,"verdi",5,538.160873345435,755.454901960784,1.7,1,4.84
"verge",2.97,"verge",5,497.004483581299,800.419607843137,1.25,10,2.97
"vergé",0.13,"vergé",5,511.962243599106,822.235294117647,1.75,4,0.13
"verne",2.94,"verne",5,441.411233297859,749.666666666667,1.25,12,2.94
"verni",3.1,"verni",5,507.653508058064,714.733333333333,1.65,3,3.1
"verra",22.61,"verra",5,472.483269689571,719.525490196078,1.55,5,22.61
"verre",115.29,"verre",5,460.082062196996,718.380392156863,1.3,10,115.29
"versa",7.29,"versa",5,454.187425661998,743.474509803922,1.7,4,7.29
"verse",6.84,"verse",5,441.786218169424,742.329411764706,1,12,6.84
"verso",1.74,"verso",5,464.841804561483,739.686274509804,1.75,3,1.74
"versé",6.13,"versé",5,456.74397818723,764.145098039216,1.55,5,6.13
"verte",27.26,"verte",5,461.19592679924,728.247058823529,1.2,12,27.26
"verts",19.39,"verts",5,467.89959448838,723.81568627451,1.65,3,19.39
"vertu",38.94,"vertu",5,491.537549819501,718.435294117647,1.8,2,38.94
"verve",3.06,"verve",5,479.164529210051,716.705882352941,1.55,9,3.06
"vesce",0.03,"vesce",5,431.712302373946,753.803921568627,1.85,2,0.03
"vespa",0.29,"vespa",5,497.108543566414,824.529411764706,1.95,0,0.29
"vesse",0.06,"vesse",5,435.435583470706,766.278431372549,1.5,7,0.06
"veste",27.68,"veste",5,454.845292100522,752.196078431373,1.25,12,27.68
"vetos",0.06,"vetos",5,455.92974702474,749.552941176471,1.95,0,0.06
"veufs",0.74,"veufs",5,486.593102824669,760.658823529412,1.85,2,0.74
"veule",0.94,"veule",5,494.69409538913,738.380392156863,1.75,4,0.94
"veuve",20.26,"veuve",5,474.189840647148,735.274509803922,1.75,4,20.26
"vexai",0.03,"vexai",5,510.981109975028,730.458823529412,1.9,0,0.03
"vexer",1.55,"vexer",5,486.155361726101,735.866666666667,1.8,3,1.55
"vexes",0.06,"vexes",5,443.755450757811,759.81568627451,1.7,4,0.06
"vexez",0.06,"vexez",5,460.431440713922,745.094117647059,1.8,3,0.06
"vexée",1.19,"vexée",5,449.610206650946,786.062745098039,1.8,1,1.19
"vexés",0.45,"vexés",5,456.313874340086,781.63137254902,1.75,3,0.45
"vibra",0.45,"vibra",5,540.915330843227,750.411764705882,1.75,3,0.45
"vibre",2.77,"vibre",5,528.514123350652,749.266666666667,1.5,6,2.77
"vibré",0.55,"vibré",5,543.471883368458,771.082352941177,1.65,4,0.55
"vices",3.68,"vices",5,474.591964888118,718.870588235294,1.55,7,3.68
"vichy",18.84,"vichy",5,611.998302833016,770.333333333333,2,0,18.84
"vicie",0.13,"vicie",5,511.770424778637,688.36862745098,1.75,2,0.13
"vicié",0.52,"vicié",5,526.728184796443,710.18431372549,1.85,1,0.52
"vidai",0.58,"vidai",5,576.325953439197,750.047058823529,1.65,4,0.58
"vidas",0.03,"vidas",5,516.787346368131,780.549019607843,1.6,6,0.03
"vider",9.48,"vider",5,551.50020519027,755.454901960784,1.4,8,9.48
"vides",31.61,"vides",5,509.10029422198,779.403921568627,1.1,13,31.61
"videz",0.32,"videz",5,525.77628417809,764.682352941176,1.65,6,0.32
"vidée",2.48,"vidée",5,514.955050115114,805.650980392157,1.45,6,2.48
"vidéo",1.26,"vidéo",5,538.010636507173,803.007843137255,1.85,2,1.26
"vidés",1.74,"vidés",5,521.658717804254,801.219607843137,1.45,8,1.74
"vieil",31.74,"vieil",5,604.619144600017,678.325490196078,1.95,1,31.74
"viens",72.55,"viens",5,485.591299932529,738.682352941176,1.6,6,72.55
"vient",182.35,"vient",5,527.349473113118,724.6,1.25,8,182.35
"vieux",257.23,"vieux",5,532.050994303361,719.501960784314,1.6,6,257.23
"vigie",0.97,"vigie",5,564.92514798044,758.933333333333,1.8,2,0.97
"vigne",11.42,"vigne",5,533.639040405093,796.772549019608,1.6,7,11.42
"viles",0.16,"viles",5,527.532539003539,708.827450980392,1,13,0.16
"villa",16.97,"villa",5,604.083649465461,687.454901960784,1.65,4,16.97
"ville",227.16,"ville",5,591.682441972886,686.309803921569,1.15,11,227.16
"viner",0.13,"viner",5,515.692391266544,714.733333333333,1.5,10,0.13
"vines",0.16,"vines",5,473.292480298255,738.682352941176,1.05,13,0.16
"vinez",0.03,"vinez",5,489.968470254365,723.960784313726,1.7,6,0.03
"vingt",189.94,"vingt",5,583.239923766597,778.258823529412,1.9,0,189.94
"viocs",0.03,"viocs",5,489.618768997488,716.227450980392,1.9,1,0.03
"viola",0.06,"viola",5,556.922155680291,711.760784313725,1.65,4,0.06
"viole",1.48,"viole",5,544.520948187717,710.61568627451,1.25,6,1.48
"viols",0.71,"viols",5,551.224615876856,706.18431372549,1.55,4,0.71
"violé",1.9,"violé",5,559.478708205523,732.43137254902,1.65,3,1.9
"virai",0.03,"virai",5,549.179026076552,678.039215686274,1.35,7,0.03
"viral",0.68,"viral",5,577.382156097628,686.023529411765,1.75,3,0.68
"virer",3.74,"virer",5,524.353277827625,683.447058823529,1.45,8,3.74
"vires",0.19,"vires",5,481.953366859335,707.396078431373,1,19,0.19
"virga",0.03,"virga",5,555.840176950524,766.63137254902,1.95,0,0.03
"viril",2.55,"viril",5,613.577231531136,649.945098039216,1.8,2,2.55
"virus",28.61,"virus",5,497.940380749673,697.58431372549,1.8,4,28.61
"virât",0.03,"virât",5,547.222415124261,720.901960784314,1.9,2,0.03
"virée",1.97,"virée",5,487.80812275247,733.643137254902,1.45,6,1.97
"virés",0.45,"virés",5,494.51179044161,729.211764705882,1.4,8,0.45
"visai",0.1,"visai",5,542.828391377834,701.988235294118,1.6,4,0.1
