"Word","FREQcount","CDcount","FREQlow","CDlow","FREQlemma","SUBTLEXWF","Lg10WF","SUBTLEXCD","Lg10CD","nl","oPE","Npix","OLD20","CN","Freq"
"gus's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,578.217205904543,703.76862745098,2.5,0,0.4771
"guffy",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,659.829696695337,866.6,2.15,1,0.4771
"gs-11",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,665.681557620784,675.952941176471,2.85,0,0.4771
"grrrr",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,573.508848826992,745.333333333333,2.8,0,0.4771
"greg.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,632.536258976203,755.639215686274,1.9,2,0.4771
"gooch",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,532.181418262189,865.658823529412,2,0,0.4771
"gnoef",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,552.594187770173,858.878431372549,2.1,1,0.4771
"globo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,606.929514730292,864.058823529412,1.95,0,0.4771
"gitmo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,617.141602535084,850.949019607843,2.55,0,0.4771
"gioia",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,565.23987963678,787.490196078431,2.35,0,0.4771
"gimme",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,635.91222361285,919.4,2,0,0.4771
"gimel",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,645.408175112507,845.156862745098,1.95,0,0.4771
"gezln",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,548.839586717439,815.658823529412,2.15,0,0.4771
"germs",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,554.249458986854,874.227450980392,1.95,1,0.4771
"geena",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,487.091525754711,862.905882352941,1.8,4,0.4771
"geddy",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,629.573374519568,964.145098039216,1.95,1,0.4771
"gazzo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,499.761982620119,819.050980392157,1.95,2,0.4771
"gansu",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,494.490091337576,848.662745098039,1.95,1,0.4771
"ganas",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,480.026139056799,859.619607843137,1.85,2,0.4771
"galts",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,559.479658083242,810.105882352941,1.95,1,0.4771
"galba",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,572.064935779653,871.635294117647,1.9,1,0.4771
"gabon",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,527.017539655065,897.701960784314,1.95,1,0.4771
"fusil",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,596.015966766969,728.83137254902,2.05,1,0.4771
"funès",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,500.902768531586,815.4,2.1,1,0.4771
"funen",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,496.868411755829,800.956862745098,1.85,3,0.4771
"froid",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,597.04819144498,782.627450980392,1.95,1,0.4771
"friar",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,564.187123975892,714.407843137255,1.95,1,0.4771
"freeh",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,535.037268216476,805.572549019608,1.95,1,0.4771
"fraga",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,567.945971471431,832.525490196078,2,0,0.4771
"forza",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,509.247273631046,755.925490196078,2,0,0.4771
"fords",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,539.405647129834,813.129411764706,1.9,2,0.4771
"fogel",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,613.159862949253,829.023529411765,2,0,0.4771
"fodor",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,556.643787003257,814.917647058823,2.05,0,0.4771
"flult",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,637.09611659965,722.733333333333,1.95,0,0.4771
"fleld",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,651.618219582989,794.686274509804,1.9,1,0.4771
"fleet",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,569.981372105202,759.494117647059,1.85,3,0.4771
"fiunt",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,556.971696890617,744.603921568627,2,0,0.4771
"fiske",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,565.309173701169,791.243137254902,1.95,0,0.4771
"finzi",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,570.422043511837,718.843137254902,1.95,0,0.4771
"filip",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,667.625966855733,760.81568627451,2.05,0,0.4771
"ferré",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,533.333564118268,770.011764705882,1.95,1,0.4771
"feast",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,505.934831660142,783.156862745098,1.85,2,0.4771
"fbl's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,660.209410699544,674.603921568627,2.2,0,0.4771
"fazer",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,497.820632173195,758.56862745098,1.8,3,0.4771
"faria",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,525.629732200712,743.933333333333,1.75,3,0.4771
"fadil",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,617.374764554984,787.847058823529,1.9,1,0.4771
"f-o-c",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,619.070307742834,572.670588235294,2.85,0,0.4771
"f-16s",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,634.919239474875,673.054901960784,2.6,1,0.4771
"f-15s",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,650.991688191799,675.686274509804,2.65,1,0.4771
